school;Mjob;G1;G2;Decision
GP;2;9;10;1
GP;4;17;17;1
GP;2;12;12;1
GP;4;16;16;1
GP;2;9;9;1
GP;2;16;17;1
GP;1;11;9;1
GP;3;14;13;1
GP;2;14;14;1
GP;1;10;11;1
GP;5;13;12;1
GP;2;11;9;1
GP;1;10;9;1
GP;2;11;11;1
GP;1;11;10;1
GP;5;11;12;1
GP;5;17;18;1
GP;2;14;13;1
GP;2;14;15;1
GP;5;11;13;1
GP;5;10;9;1
GP;2;13;14;1
GP;4;12;13;1
GP;3;9;9;0
GP;5;12;12;1
GP;3;12;11;1
GP;3;10;11;1
GP;5;11;10;1
GP;2;13;12;1
GP;5;14;15;1
GP;5;13;13;1
GP;1;10;11;1
GP;5;14;15;1
GP;1;11;10;1
GP;4;14;14;1
GP;2;11;12;1
GP;2;14;15;1
GP;2;13;13;1
GP;5;13;13;1
GP;3;8;9;0
GP;5;11;11;1
GP;1;14;15;1
GP;3;12;13;1
GP;1;11;12;1
GP;2;12;12;1
GP;5;13;12;1
GP;2;13;13;1
GP;5;12;11;1
GP;5;12;11;1
GP;2;14;16;1
GP;2;11;9;1
GP;5;10;10;1
GP;3;12;13;1
GP;3;12;12;1
GP;3;11;10;1
GP;3;12;12;1
GP;5;13;13;1
GP;2;10;9;1
GP;1;15;16;1
GP;2;8;8;1
GP;2;17;18;1
GP;5;10;11;1
GP;3;9;10;1
GP;2;15;15;1
GP;4;14;12;1
GP;2;12;13;1
GP;1;13;13;1
GP;4;13;13;1
GP;2;9;9;1
GP;3;12;12;1
GP;2;16;16;1
GP;2;9;10;1
GP;2;14;13;1
GP;5;10;10;1
GP;3;9;8;0
GP;2;8;7;0
GP;2;7;8;1
GP;1;10;8;1
GP;2;14;14;1
GP;3;11;10;1
GP;2;12;11;1
GP;3;13;13;1
GP;2;9;9;1
GP;2;8;7;0
GP;2;11;9;1
GP;3;15;14;1
GP;1;15;14;1
GP;4;15;15;1
GP;1;12;12;1
GP;1;14;14;1
GP;5;14;15;1
GP;1;11;11;1
GP;2;13;14;1
GP;5;11;11;1
GP;3;10;9;1
GP;2;12;10;1
GP;2;15;16;1
GP;2;11;10;1
GP;2;9;12;1
GP;5;7;8;0
GP;2;10;9;1
GP;2;11;12;1
GP;5;7;8;0
GP;3;9;11;1
GP;5;7;8;0
GP;2;14;13;1
GP;2;12;12;1
GP;4;9;10;1
GP;2;12;12;1
GP;1;14;15;1
GP;5;10;10;1
GP;5;11;10;1
GP;2;11;12;1
GP;2;11;12;1
GP;2;11;11;1
GP;5;11;13;1
GP;2;16;16;1
GP;2;9;10;1
GP;5;10;11;1
GP;2;10;12;1
GP;5;15;15;1
GP;1;10;10;1
GP;2;10;11;1
GP;2;15;12;1
GP;3;11;12;1
GP;2;8;8;1
GP;2;15;16;1
GP;5;11;11;1
GP;1;10;11;1
GP;4;10;12;1
GP;2;8;9;1
GP;2;11;12;1
GP;2;16;16;1
GP;2;13;13;1
GP;3;16;17;1
GP;2;14;14;1
GP;3;15;16;1
GP;5;12;12;1
GP;2;12;9;1
GP;1;11;12;1
GP;4;14;12;1
GP;2;13;15;1
GP;5;9;8;0
GP;1;10;10;1
GP;3;10;10;1
GP;5;11;11;1
GP;1;13;13;1
GP;3;17;17;1
GP;2;12;13;1
GP;2;12;12;1
GP;2;12;13;1
GP;2;12;12;1
GP;3;18;18;1
GP;5;13;13;1
GP;5;14;15;1
GP;1;17;17;1
GP;1;15;16;1
GP;4;17;18;1
GP;5;18;19;1
GP;5;14;15;1
GP;4;14;15;1
GP;4;14;13;1
GP;2;13;14;1
GP;2;16;17;1
GP;1;18;18;1
GP;4;14;15;1
GP;2;12;13;1
GP;5;7;7;0
GP;2;16;16;1
GP;4;18;18;1
GP;3;9;10;1
GP;5;14;15;1
GP;2;10;10;1
GP;2;10;10;1
GP;5;12;12;1
GP;2;11;12;1
GP;1;15;16;1
GP;2;14;15;1
GP;4;12;12;1
GP;3;15;15;1
GP;3;11;12;1
GP;4;11;10;1
GP;1;12;11;1
GP;2;11;12;1
GP;4;14;15;1
GP;5;15;14;1
GP;5;12;12;1
GP;2;11;12;1
GP;2;8;9;1
GP;2;10;10;1
GP;2;8;8;1
GP;2;10;10;1
GP;2;14;13;1
GP;5;11;11;1
GP;5;17;18;1
GP;3;14;14;1
GP;2;14;14;1
GP;2;13;14;1
GP;2;17;18;1
GP;5;11;10;1
GP;1;13;12;1
GP;1;15;14;1
GP;3;11;12;1
GP;2;11;11;1
GP;3;11;10;1
GP;3;10;9;1
GP;3;15;15;1
GP;2;15;14;1
GP;5;10;11;1
GP;2;10;9;1
GP;3;14;13;1
GP;5;11;13;1
GP;2;12;13;1
GP;5;14;14;1
GP;2;14;14;1
GP;1;12;12;1
GP;5;16;16;1
GP;3;10;12;1
GP;3;11;12;1
GP;2;14;16;1
GP;1;15;14;1
GP;1;14;13;1
GP;4;11;12;1
GP;5;12;15;1
GP;5;12;16;1
GP;3;10;11;1
GP;2;10;13;1
GP;2;9;12;1
GP;5;9;11;1
GP;2;13;14;1
GP;5;13;17;1
GP;4;12;15;1
GP;1;14;17;1
GP;3;9;10;1
GP;2;11;15;1
GP;1;9;10;1
GP;2;16;18;1
GP;3;14;17;1
GP;2;13;14;1
GP;2;7;11;1
GP;5;14;17;1
GP;2;8;10;1
GP;5;10;13;1
MS;3;10;11;1
MS;2;12;12;1
MS;3;10;10;1
MS;3;10;10;1
MS;3;16;17;1
MS;3;6;8;0
MS;3;10;11;1
MS;2;10;11;1
MS;3;10;10;1
MS;2;6;6;0
MS;1;13;14;1
MS;3;10;9;1
MS;3;10;10;1
MS;2;6;7;0
MS;2;12;11;1
MS;2;10;11;1
MS;2;14;16;1
MS;3;7;0;0
MS;2;8;9;1
MS;4;12;13;1
MS;4;7;9;0
MS;2;9;10;1
MS;2;7;9;1
MS;3;11;11;1
MS;2;8;10;1
MS;1;16;16;1
MS;2;11;13;1
MS;2;15;15;1
MS;2;10;11;1
MS;2;9;10;1
MS;2;10;8;1
MS;2;9;8;1
MS;3;9;10;1
MS;3;13;14;1
MS;3;10;11;1
MS;2;13;10;1
MS;3;10;9;1
MS;3;11;10;1
MS;3;13;12;1
MS;3;13;14;1
MS;2;14;11;1
MS;3;11;11;1
MS;2;9;8;1
MS;2;10;9;1
MS;2;14;13;1
MS;4;13;12;1
MS;2;13;12;1
MS;5;13;12;1
MS;3;12;11;1
MS;2;14;14;1
MS;3;10;8;1
MS;3;10;11;1
MS;2;12;13;1
MS;2;10;8;1
MS;5;12;10;1
MS;3;7;7;0
MS;2;9;9;1
MS;3;9;9;0
MS;3;9;10;1
MS;3;9;10;1
MS;2;9;10;1
MS;2;7;7;0
MS;3;11;10;1
MS;2;9;10;1
MS;2;7;9;1
MS;3;7;9;0
MS;2;8;9;1
MS;3;9;11;1
MS;2;7;8;1
MS;4;8;10;1
MS;2;9;9;1
MS;3;8;9;0
MS;2;14;13;1
MS;5;14;14;1
MS;5;10;11;1
MS;2;14;13;1
MS;5;17;16;1
MS;2;6;7;0
MS;2;14;12;1
MS;5;10;8;1
MS;2;14;14;1
MS;2;12;13;1
MS;3;11;11;1
MS;3;11;9;1
MS;2;11;11;1
MS;2;10;9;1
MS;3;16;17;1
MS;2;15;17;1
MS;2;11;9;1
MS;3;7;7;0
MS;2;8;6;0
MS;5;7;6;0
MS;2;9;8;1
MS;4;14;16;1
MS;2;14;14;1
MS;2;8;5;0
MS;2;8;7;0
MS;3;6;8;0
MS;3;8;10;1
MS;4;8;8;0
MS;3;5;6;0
MS;3;7;9;0
MS;2;15;14;1
MS;2;13;14;1
MS;5;10;9;1
MS;3;9;9;0
MS;5;11;11;1
MS;5;7;10;1
MS;3;10;10;1
MS;4;9;7;0
MS;2;14;15;1
MS;1;11;12;1
MS;2;9;11;1
MS;2;13;14;1
MS;5;12;13;1
MS;2;11;11;1
MS;2;9;10;1
MS;3;9;11;1
MS;2;11;9;1
MS;1;10;11;1
MS;4;9;9;0
MS;2;12;11;1
MS;5;8;9;0
MS;4;13;15;1
MS;2;10;11;1
MS;3;11;10;1
